标题,场次名称,城市,时间,状态,最低价格,分类,演出ID
【昆山】《谭维维声声世世风起八方》剧场音乐会,【昆山】《谭维维声声世世风起八方》剧场音乐会,苏州市,2026.05.09 19:30,PENDING,¥380起,音乐会,69d5c4cb508fe7000139c179
 【天津】2026罗大佑春龙交响夜音乐会-天津站, 【天津】2026罗大佑春龙交响夜音乐会-天津站,天津市,2026.06.13 - 06.14,PRESALE,¥480起,音乐会,6981a6740a7c370001797046
【哈尔滨】【520浪漫专属】音为爱情——情人节治愈系视听音乐会,【哈尔滨】【520浪漫专属】音为爱情——情人节治愈系视听音乐会,哈尔滨市,2026.05.20 19:00,PENDING,¥80起,音乐会,69d48158896a62000129912b
【上海】2026罗大佑春龙交响夜音乐会-上海站,【上海】2026罗大佑春龙交响夜音乐会-上海站,上海市,2026.05.30 - 05.31,PRESALE,¥480起,音乐会,69785ba634d79a00014aac53
【无锡】法国Grissini Project 格里西尼乐团「幻乐交织・光影新章」2026 巡回音乐会,【无锡】法国Grissini Project 格里西尼乐团「幻乐交织・光影新章」2026 巡回音乐会,无锡市,2026.06.12 19:30,ONSALE,¥80起,音乐会,69c0a5b2979b1c0001c081ae
【北京】张泽个人音乐会《破格6.0》北京文化艺术基金2025年度资助项目 北京国际流行音乐周,【北京】张泽个人音乐会《破格6.0》北京文化艺术基金2025年度资助项目 北京国际流行音乐周,北京市,2026.06.21 19:30,ONSALE,¥180起,音乐会,69cb46c9f1c6460001a9f280
【佛山】《爱乐之城经典电影作品音乐会》,【佛山】《爱乐之城经典电影作品音乐会》,佛山市,2026.06.27 19:30,PENDING,¥80起,音乐会,69ce6f0701c4180001be2497
【北京】阿鲲《飞驰人生3》电影原声音乐会,【北京】阿鲲《飞驰人生3》电影原声音乐会,北京市,2026.05.05 19:30,ONSALE,¥239起,音乐会,698e860d12ec8000018e182b
【西安】2026.4.25《权力的游戏&加勒比海盗》经典影视作品音乐会#,【西安】2026.4.25《权力的游戏&加勒比海盗》经典影视作品音乐会#,西安市,2026.04.25 19:30,PENDING,¥100起,音乐会,69ba1109c0c58e00010aca2d
【上海】“江湖寻音  天地随行” 胡伟立重现经典音乐会,【上海】“江湖寻音  天地随行” 胡伟立重现经典音乐会,上海市,2026.04.10 - 04.11,ONSALE,¥180起,音乐会,698b08b39b2955000170394e
【上海】LALALAND爱乐之城-世界电影名曲520烛光音乐会,【上海】LALALAND爱乐之城-世界电影名曲520烛光音乐会,上海市,2026.05.20 19:30,ONSALE,¥80起,音乐会,69ae37b94ed27a000127c7bd
【太原】[致敬大师]坂本龙一·久石让经典作品音乐会一太原站,【太原】[致敬大师]坂本龙一·久石让经典作品音乐会一太原站,太原市,2026.04.11 19:30,ONSALE,¥100起,音乐会,69bf467fd328ec0001fa9aa4
