项目编号,项目名称,首席申请机构,批准资金
GSP/002/15,"2016香港学生科学比赛","香港青年协会",HK$ 1,597,156
GSP/011/15,"港科院成立典礼暨第一届学术创新连繫峰会及第二届学术创新连繫峰会","香港科学院",HK$ 3,241,000
GSP/013/15,"创新科技奖学金计划2016","香港青年协会",HK$ 3,214,850
GSP/017/15,"促进转移海外科研成果的软着陆计划 (2015-2017)","香港科技园公司",HK$ 2,910,000
GSP/021/15,"第十七届亚洲物理奥林匹克","香港科技大学",HK$ 1,264,901
GSP/022/15,"大学生创新及创业计划2016","香港新一代文化协会有限公司",HK$ 1,702,900
GSP/004/16,"2017香港学生科学比赛","香港青年协会",HK$ 1,499,730
GSP/010/16,"创新科技学生会 2016","香港中文大学",HK$ 527,850
GSP/024/16,"香港大学生创新及创业计划2017-2018","香港新一代文化协会有限公司",HK$ 2,999,680
GSP/031/16,"Gordon Research Conferences (HK) Limited 2017 and 2018 Conference Series","戈登研究会议在香港扩充活动计划",HK$ 3,688,560
GSP/007/17,"2018香港学生科学比赛","香港青年协会",HK$ 1,499,926
GSP/018/17,"创造乐活都市","香港贸易发展局",HK$ 680,120
GSP/023/17,"青企局「敢闯。敢创」创业比赛","青年企业家发展局",HK$ 646,000
GSP/031/17,"机械人、科艺及绿色创意科普计划","香港中文大学",HK$ 2,917,228
GSP/005/18,"2019香港学生科学比赛","香港青年协会",HK$ 1,567,974
GSP/006/18,"人工智能及工业应用国际会议与工作坊：產业创新的新引擎","香港生產力促进局",HK$ 625,783
GSP/012/18,"城创新活","香港贸易发展局",HK$ 826,686.5
GSP/015/18,"创新科技嘉年华之生產力展馆-2018","香港生產力促进局",HK$ 848,426.5
GSP/047/18,"Gordon Research Conferences 2019 and 2020 Conference Series","戈登研究会议在香港扩充活动计划",HK$ 7,586,970
GSP/038/19,"智能传感4.0","香港生產力促进局",HK$ 608,957
GSP/009/20,"2021 &amp; 2022 香港学生科学比赛","香港青年协会",HK$ 3,262,432
GSP/027/20,"大湾区联校创新发明比赛","香港发明创新总会有限公司",HK$ 896,914
GSP/006/21,"N/A","Pangaia Solutions Limited",HK$ 1,480,620
GSP/014/21,"建设更美好的大湾区：培育人才与引领创新","香港工程院",HK$ 7,604,820
GSP/029/21,"透过项目比赛和专业指导，孕育香港物联网创新方案，迈向国家舞台","香港生產力促进局",HK$ 884,112.3
GSP/067/21,"於香港电脑通讯节 2022 举办 5G 及绿色科技生活区，以推广使香港為创新绿色科技的城市","香港电器及电子设备回收协会有限公司",HK$ 1,617,816
GSP/003/22,"大数据应用挑战赛 2021-22","B4B Limited",HK$ 1,974,300
